110	0.85    0.6
115	0.85    0.6
120	0.85    0.6
130	0.85    0.6
140	0.85    0.6
150	0.85    0.6
160	0.85    0.6
170	0.85    0.6
180	0.85    0.6
190	0.85    0.6
200	0.85    0.6
250	0.73    0.61
300	0.73    0.61
350	0.73    0.61
400	0.73    0.61
450	0.73    0.61
500	0.73    0.61
550	0.73    0.61
600	0.73    0.61
