110	192.00000	0.01772	0.00068
115	192.00000	0.01772	0.00068
120	192.00000	0.02531	0.00121
130	192.00000	0.03888	0.00206
140	192.00000	0.03913	0.00253
150	192.00000	0.03234	0.00422
160	192.00000	0.02736	0.00361
170	192.00000	0.02710	0.00352
180	192.00000	0.03587	0.00403
190	192.00000	0.06091	0.00548
200	192.00000	0.07083	0.00593
250	192.00000	0.12137	0.00768
300	192.00000	0.13082	0.00981
350	192.00000	0.12683	0.00985
400	192.00000	0.11298	0.00854
450	192.00000	0.07525	0.00554
500	192.00000	0.05822	0.00458
550	192.00000	0.04690	0.00317
600	192.00000	0.03842	0.00246
