120	360.00000	0.00720	0.00169
130	360.00000	0.00979	0.00199
140	360.00000	0.00869	0.00186
150	360.00000	0.00364	0.00119
160	360.00000	0.00345	0.00116
170	360.00000	0.00293	0.00107
180	360.00000	0.00543	0.00146
190	360.00000	0.01441	0.00244
200	360.00000	0.01788	0.00274
250	360.00000	0.02888	0.00359
300	360.00000	0.02200	0.00308
350	360.00000	0.01582	0.00257
400	360.00000	0.01759	0.00272
450	360.00000	0.01171	0.00218
500	360.00000	0.00694	0.00166
550	360.00000	0.00658	0.00161
600	360.00000	0.00659	0.00161
