450	0	ggH	0.832	0.946	1.010	0.644
450	0	vbfH	0.012	0.015	0.016	0.010
450	0	data	3	1	6	4
500	0	DY	0.000	0.000	0.000	0.000
500	0	Top	0.954	0.957	1.673	0.337
500	0	WJet	0.000	0.000	0.000	0.000
500	0	VV	0.358	0.122	0.094	0.144
500	0	WW	2.566	3.169	3.273	1.843
500	0	ggWW	0.183	0.266	0.248	0.142
500	0	ggH	0.487	0.590	0.661	0.413
500	0	vbfH	0.009	0.011	0.012	0.008
500	0	data	2	0	5	2
550	0	DY	0.000	0.000	0.000	0.000
550	0	Top	0.585	0.907	1.172	0.298
550	0	WJet	0.000	0.000	0.000	0.000
550	0	VV	0.285	0.094	0.054	0.110
550	0	WW	2.092	2.492	2.529	1.513
550	0	ggWW	0.143	0.233	0.193	0.106
550	0	ggH	0.324	0.374	0.394	0.259
550	0	vbfH	0.007	0.009	0.010	0.005
550	0	data	2	0	3	2
600	0	DY	0.000	0.000	0.000	0.000
600	0	Top	0.403	0.852	0.811	0.245
600	0	WJet	0.000	0.000	0.000	0.000
600	0	VV	0.217	0.088	0.057	0.122
600	0	WW	1.494	2.021	2.072	1.267
600	0	ggWW	0.107	0.186	0.147	0.077
600	0	ggH	0.196	0.234	0.242	0.155
600	0	vbfH	0.005	0.007	0.007	0.005
600	0	data	2	0	2	1
120	1	DY	0.643	0.023	0.000	0.176
120	1	Top	2.064	2.272	2.038	0.815
120	1	WJet	0.000	0.873	0.000	0.000
120	1	VV	0.300	0.453	0.478	0.291
120	1	WW	3.614	3.717	4.866	1.629
120	1	ggWW	0.129	0.201	0.261	0.079
120	1	ggH	1.097	1.284	1.536	0.567
120	1	vbfH	0.106	0.126	0.165	0.057
120	1	data	13	16	21	6
130	1	DY	0.579	0.000	0.000	0.247
130	1	Top	1.536	2.734	2.769	1.075
130	1	WJet	0.000	0.000	0.000	0.000
130	1	VV	0.320	0.499	0.498	0.312
130	1	WW	4.203	4.204	5.118	1.875
130	1	ggWW	0.168	0.259	0.302	0.105
130	1	ggH	1.993	2.719	3.047	1.339
130	1	vbfH	0.217	0.259	0.312	0.129
130	1	data	14	15	19	8
140	1	DY	0.553	0.000	0.000	0.545
140	1	Top	1.919	1.951	2.457	1.051
140	1	WJet	0.000	0.000	0.000	0.000
140	1	VV	0.276	0.350	0.411	0.302
140	1	WW	3.750	3.867	4.428	1.843
140	1	ggWW	0.167	0.255	0.254	0.110
140	1	ggH	3.245	3.674	3.943	2.001
140	1	vbfH	0.345	0.385	0.406	0.219
140	1	data	14	12	12	8
150	1	DY	0.115	0.000	0.000	0.500
150	1	Top	1.592	1.993	1.029	0.499
150	1	WJet	0.000	0.000	0.000	0.000
150	1	VV	0.157	0.273	0.239	0.215
150	1	WW	3.343	3.678	3.660	1.735
150	1	ggWW	0.229	0.265	0.288	0.154
150	1	ggH	3.836	4.356	4.492	2.411
150	1	vbfH	0.398	0.471	0.460	0.259
150	1	data	12	11	5	8
160	1	DY	0.327	0.000	0.000	0.500
160	1	Top	1.576	2.297	0.977	0.493
160	1	WJet	0.000	0.000	0.000	0.000
160	1	VV	0.154	0.169	0.205	0.132
160	1	WW	2.986	2.940	2.975	1.559
160	1	ggWW	0.225	0.264	0.280	0.170
160	1	ggH	5.763	6.418	6.555	4.036
160	1	vbfH	0.735	0.716	0.719	0.408
160	1	data	11	10	4	7
170	1	DY	0.327	0.000	0.000	0.391
170	1	Top	2.503	1.674	0.829	0.505
170	1	WJet	0.000	0.000	0.000	0.000
170	1	VV	0.111	0.057	0.142	0.084
170	1	WW	2.570	2.165	2.506	1.423
170	1	ggWW	0.221	0.221	0.253	0.185
170	1	ggH	4.942	4.501	4.880	3.098
