110	794.00000	0.00426	0.00032
115	794.00000	0.01049	0.00061
120	794.00000	0.01303	0.00072
130	794.00000	0.02086	0.00107
140	794.00000	0.02845	0.00140
150	794.00000	0.03500	0.00169
160	794.00000	0.04094	0.00195
170	794.00000	0.04441	0.00210
180	794.00000	0.04864	0.00229
190	794.00000	0.05534	0.00258
200	794.00000	0.06054	0.00281
250	794.00000	0.08406	0.00383
300	794.00000	0.08669	0.00395
350	794.00000	0.08762	0.00399
400	794.00000	0.08804	0.00400
450	794.00000	0.08828	0.00402
500	794.00000	0.08840	0.00402
550	794.00000	0.08850	0.00402
600	794.00000	0.08854	0.00403
