110	83	0.0574009	0.0137129
115	109	0.102455	0.0200214
120	130	0.10098	0.019739
130	180	0.11942	0.0241352
140	226	0.118547	0.0239374
150	250	0.102413	0.0144483
160	268	0.10043	0.0141817
170	278	0.0991766	0.0140135
180	283	0.100849	0.0177011
190	287	0.108866	0.0188479
200	292	0.129908	0.0272084
250	301	0.138486	0.0307371
300	308	0.137658	0.030002
350	309	0.114809	0.0224911
400	310	0.136378	0.029356
450	310	0.136065	0.0292919
500	312	0.136133	0.0293055
550	312	0.136002	0.0292787
600	312	0.138808	0.03131
